platform,globalsale,year,id
PS4,0,2018,PS4-2018
PS4,0,2019,PS4-2019
PS4,0,2020,PS4-2020
PS3,109.49,2012,PS3-2012
X360,120.85,2009,X360-2009
PS3,159.37,2011,PS3-2011
PS3,144.42,2010,PS3-2010
3DS,62.53,2011,3DS-2011
3DS,51.14,2012,3DS-2012
X360,95.84,2007,X360-2007
X360,135.76,2008,X360-2008
PS4,98.76,2014,PS4-2014
N64,34.11,1996,N64-1996
N64,39.51,1997,N64-1997
N64,49.28,1998,N64-1998
N64,57.96,1999,N64-1999
N64,34.01,2000,N64-2000
N64,3.26,2001,N64-2001
N64,0.08,2002,N64-2002
N64,0,2003,N64-2003
N64,0,2004,N64-2004
N64,0,2005,N64-2005
N64,0,2006,N64-2006
N64,0,2007,N64-2007
N64,0,2008,N64-2008
N64,0,2009,N64-2009
N64,0,2010,N64-2010
N64,0,2011,N64-2011
N64,0,2012,N64-2012
N64,0,2013,N64-2013
N64,0,2014,N64-2014
N64,0,2015,N64-2015
N64,0,2016,N64-2016
N64,0,2017,N64-2017
N64,0,2018,N64-2018
N64,0,2019,N64-2019
N64,0,2020,N64-2020
PS,136.08,1997,PS-1997
PS,169.58,1998,PS-1998
PS,144.57,1999,PS-1999
PS,96.28,2000,PS-2000
PS,35.52,2001,PS-2001
PS,6.69,2002,PS-2002
PS,2.05,2003,PS-2003
PS,0,2004,PS-2004
PS,0,2005,PS-2005
PS,0,2006,PS-2006
PS,0,2007,PS-2007
PS,0,2008,PS-2008
PS,0,2009,PS-2009
PS,0,2010,PS-2010
PS,0,2011,PS-2011
PS,0,2012,PS-2012
PS,0,2013,PS-2013
PS,0,2014,PS-2014
PS,0,2015,PS-2015
PS,0,2016,PS-2016
PS,0,2017,PS-2017
PS,0,2018,PS-2018
PS,0,2019,PS-2019
PS,0,2020,PS-2020
PS3,132.34,2009,PS3-2009
PS3,119.69,2008,PS3-2008
DS,17.46,2004,DS-2004
XB,65.5,2004,XB-2004
XB,49.17,2005,XB-2005
XB,10.15,2006,XB-2006
XB,0.55,2007,XB-2007
