日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
1月31日,甘肃,40,0,0,11,0,0,40,0.379310345
2月1日,甘肃,40,3,0,0,3,0,37,0
2月2日,甘肃,51,3,0,11,0,0,48,0.297297297
2月3日,甘肃,55,3,0,4,0,0,52,0.083333333
2月4日,甘肃,57,4,0,2,1,0,53,0.038461538
2月5日,甘肃,62,4,0,5,0,0,58,0.094339623
2月6日,甘肃,67,9,0,5,5,0,58,0.086206897
2月7日,甘肃,71,9,1,4,0,1,61,0.068965517
2月8日,甘肃,79,13,1,8,4,0,65,0.131147541
2月9日,甘肃,83,17,2,4,4,1,64,0.061538462
2月10日,甘肃,86,21,2,3,4,0,63,0.046875
2月11日,甘肃,86,24,2,0,3,0,60,0
2月12日,甘肃,87,31,2,1,7,0,54,0.016666667
2月13日,甘肃,90,39,2,3,8,0,49,0.055555556
2月14日,甘肃,90,44,2,0,5,0,44,0
2月15日,甘肃,90,49,2,0,5,0,39,0
1月21日,广东,26,0,0,0,0,0,26,0
1月22日,广东,32,2,0,6,2,0,30,0.230769231
1月23日,广东,53,2,0,21,0,0,51,0.7
1月24日,广东,78,2,0,25,0,0,76,0.490196078
1月25日,广东,98,2,0,20,0,0,96,0.263157895
1月26日,广东,151,3,0,53,1,0,148,0.552083333
1月27日,广东,207,4,0,56,1,0,203,0.378378378
1月28日,广东,277,6,0,70,2,0,271,0.344827586
1月29日,广东,354,10,0,77,4,0,344,0.284132841
1月30日,广东,436,11,0,82,1,0,425,0.238372093
1月31日,广东,535,11,0,99,0,0,524,0.232941176
2月1日,广东,632,13,0,97,2,0,619,0.185114504
2月2日,广东,725,19,0,93,6,0,706,0.150242326
2月3日,广东,797,20,0,72,1,0,777,0.101983003
2月4日,广东,870,32,0,73,12,0,838,0.093951094
2月5日,广东,944,49,0,74,17,0,895,0.088305489
2月6日,广东,1034,88,1,90,39,1,945,0.100558659
2月7日,广东,1075,97,1,41,9,0,977,0.043386243
2月8日,广东,1120,127,1,45,30,0,992,0.046059365
2月9日,广东,1159,163,1,39,36,0,995,0.039314516
2月10日,广东,1177,181,1,18,18,0,995,0.018090452
2月11日,广东,1219,241,1,42,60,0,977,0.042211055
2月12日,广东,1241,284,2,22,43,1,955,0.022517912
2月13日,广东,1261,332,2,20,48,0,927,0.020942408
2月14日,广东,1294,386,2,33,54,0,906,0.035598706
2月15日,广东,1316,436,2,22,50,0,878,0.024282561
1月21日,广西,2,0,0,0,0,0,2,0
1月22日,广西,5,0,0,3,0,0,5,1.5
1月23日,广西,13,0,0,8,0,0,13,1.6
1月24日,广西,23,0,0,10,0,0,23,0.769230769
1月25日,广西,33,0,0,10,0,0,33,0.434782609
1月26日,广西,46,0,0,13,0,0,46,0.393939394
1月27日,广西,51,2,0,5,2,0,49,0.108695652
1月28日,广西,58,2,0,7,0,0,56,0.142857143
1月29日,广西,78,2,0,20,0,0,76,0.357142857
1月30日,广西,87,2,0,9,0,0,85,0.118421053
1月31日,广西,100,2,0,13,0,0,98,0.152941176
2月1日,广西,111,2,0,11,0,0,109,0.112244898
2月2日,广西,127,7,0,16,5,0,120,0.146788991
2月3日,广西,139,7,0,12,0,0,132,0.1
2月4日,广西,150,10,0,11,3,0,140,0.083333333
2月5日,广西,168,14,0,18,4,0,154,0.128571429
2月6日,广西,172,17,0,4,3,0,155,0.025974026
2月7日,广西,183,17,0,11,0,0,166,0.070967742
2月8日,广西,195,18,1,12,1,1,176,0.072289157
2月9日,广西,210,18,1,15,0,0,191,0.085227273
2月10日,广西,215,30,1,5,12,0,184,0.02617801
2月11日,广西,222,31,1,7,1,0,190,0.038043478
2月12日,广西,222,33,2,0,2,1,187,0
2月13日,广西,226,35,2,4,2,0,189,0.021390374
2月14日,广西,235,40,2,9,5,0,193,0.047619048
2月15日,广西,237,46,2,2,6,0,189,0.010362694
1月21日,贵州,1,0,0,0,0,0,1,0
1月22日,贵州,3,0,0,2,0,0,3,2
1月23日,贵州,3,0,0,0,0,0,3,0
1月24日,贵州,4,0,0,1,0,0,4,0.333333333
1月25日,贵州,5,0,0,1,0,0,5,0.25
1月26日,贵州,7,0,0,2,0,0,7,0.4
1月27日,贵州,9,0,0,2,0,0,9,0.285714286
1月28日,贵州,9,1,0,0,1,0,8,0
1月29日,贵州,12,1,0,3,0,0,11,0.375
1月30日,贵州,29,2,0,17,1,0,27,1.545454545
1月31日,贵州,29,2,0,0,0,0,27,0
2月1日,贵州,38,2,0,9,0,0,36,0.333333333
2月2日,贵州,46,2,0,8,0,0,44,0.222222222
2月3日,贵州,56,2,0,10,0,0,54,0.227272727
2月4日,贵州,64,5,0,8,3,0,59,0.148148148
2月5日,贵州,69,6,1,5,1,1,62,0.084745763
2月6日,贵州,83,6,1,14,0,0,76,0.225806452
2月7日,贵州,89,6,1,6,0,0,82,0.078947368
2月8日,贵州,96,7,1,7,1,0,88,0.085365854
2月9日,贵州,109,7,1,13,0,0,101,0.147727273
2月10日,贵州,127,13,1,18,6,0,113,0.178217822
2月11日,贵州,131,17,1,4,4,0,113,0.03539823
2月12日,贵州,135,20,1,4,3,0,114,0.03539823
2月13日,贵州,140,28,1,5,8,0,111,0.043859649
2月14日,贵州,143,33,1,3,5,0,109,0.027027027
2月15日,贵州,144,37,1,1,4,0,106,0.009174312
1月21日,海南,4,0,0,0,0,0,4,0
1月22日,海南,5,0,0,1,0,0,5,0.25
1月23日,海南,8,0,0,3,0,0,8,0.6
1月24日,海南,19,0,0,11,0,0,19,1.375
1月25日,海南,22,0,0,3,0,0,22,0.157894737
1月26日,海南,33,0,1,11,0,1,32,0.5
1月27日,海南,40,0,1,7,0,0,39,0.21875
1月28日,海南,43,1,1,3,1,0,41,0.076923077
1月29日,海南,46,1,1,3,0,0,44,0.073170732
1月30日,海南,52,1,1,6,0,0,50,0.136363636
1月31日,海南,62,1,1,10,0,0,60,0.2
2月1日,海南,64,4,1,2,3,0,59,0.033333333
2月2日,海南,71,4,1,7,0,0,66,0.118644068
2月3日,海南,79,4,1,8,0,0,74,0.121212121
2月4日,海南,80,5,1,1,1,0,74,0.013513514
2月5日,海南,105,5,1,25,0,0,99,0.337837838
2月6日,海南,117,10,2,12,5,1,105,0.121212121
2月7日,海南,124,11,2,7,1,0,111,0.066666667
2月8日,海南,128,15,3,4,4,1,110,0.036036036
2月9日,海南,138,19,3,10,4,0,116,0.090909091
2月10日,海南,142,19,3,4,0,0,120,0.034482759
2月11日,海南,151,20,3,9,1,0,128,0.075
2月12日,海南,157,27,4,6,7,1,126,0.046875
2月13日,海南,158,30,4,1,3,0,124,0.007936508
2月14日,海南,162,38,4,4,8,0,120,0.032258065
2月15日,海南,162,39,4,0,1,0,119,0
1月21日,河北,1,0,0,0,0,0,1,0
1月22日,河北,1,0,0,0,0,0,1,0
1月23日,河北,2,0,1,1,0,1,1,1
1月24日,河北,8,0,1,6,0,0,7,6
1月25日,河北,13,0,1,5,0,0,12,0.714285714
1月26日,河北,18,0,1,5,0,0,17,0.416666667
